Protein ID,Rank Score, Type
YLR347C,0.00140438729808,Fjord
YDL060W,0.00140399673273,Fjord
YDR404C,0.00140351098478,Essential
YDR224C,0.00140251259508,Fjord
YOR078W,0.00140034436887,Shore
YLR357W,0.0013944579673,Fjord
YDR214W,0.0013899360953,Fjord
YDR127W,0.0013897692749,Shore
YBL035C,0.00138893346836,Bridge
YLL045C,0.00138857015848,Shore
YDR472W,0.00138268722771,Essential
YLL036C,0.00138256763515,Fjord
YML049C,0.00137899516161,Shore
YOL086C,0.0013778564681,Fjord
YBL026W,0.00137594415192,Essential
YGL066W,0.00137302364288,Shore
YPL211W,0.00137122089924,Essential
YKR002W,0.00136771182327,Shore
YMR091C,0.00136530106629,Shore
YBL084C,0.00136435557863,Shore
YLR117C,0.00136265225073,Shore
YDR190C,0.00136261412983,Fjord
YNR053C,0.00136243999121,Shore
YNL051W,0.0013613348982,Essential
YBL003C,0.00135660910427,Fjord
YDR025W,0.00135432783352,Fjord
YOR361C,0.00134979701904,Shore
YMR308C,0.00134796903207,Fjord
YPL204W,0.00134572423194,Fjord
YMR213W,0.00134513149622,Shore
YOR207C,0.00133595220563,Shore
YML062C,0.00133386448631,Fjord
YOR332W,0.00133230908321,Shore
YIL021W,0.00133041915514,Shore
YPL178W,0.00132878351586,Shore
YNL207W,0.00132685922083,Fjord
YPR178W,0.00132448922103,Essential
YPL198W,0.00132259706075,Shore
YAL043C,0.00132120009742,Shore
YDR473C,0.00131819117903,Essential
YKL059C,0.0013180001527,Essential
YMR290C,0.00131454888809,Essential
YFL039C,0.00131094011568,Fjord
YLR153C,0.00130961434088,Fjord
YER110C,0.00130926733343,Fjord
YOR261C,0.00130856747583,Shore
YNR003C,0.00130842675967,Essential
YGR074W,0.00130636885713,Essential
YNL330C,0.00130347625826,Essential
YPL007C,0.00130266783089,Essential
YJR123W,0.00129715485523,Fjord
YHR064C,0.00129660256566,Fjord
YAL016W,0.0012951769893,Fjord
YAL032C,0.00129491918024,Shore
YLR421C,0.0012943403649,Essential
YJL002C,0.00129394788836,Essential
YNL147W,0.00129372125852,Shore
YPL126W,0.00129075979423,Shore
YOL139C,0.0012889647572,Shore
YMR273C,0.00128563258216,Bridge
YNL251C,0.00128393549996,Fjord
YPL139C,0.00128313803546,Shore
YOR110W,0.00128128968811,Essential
YDR280W,0.00128012363388,Shore
YNL126W,0.00127546575379,Essential
YOR270C,0.00127413084184,Shore
YHR099W,0.00127301225721,Essential
YBR081C,0.00126894943623,Shore
YPR181C,0.00126529667511,Shore
YGR158C,0.0012626857636,Shore
YGR231C,0.00126167489043,Essential
YML024W,0.00125968956068,Fjord
YLR275W,0.00125905301436,Shore
YLR381W,0.001256071177,Essential
YPL082C,0.00125567167293,Fjord
YJL203W,0.00125456574901,Shore
YDR301W,0.00125282089047,Essential
YGR005C,0.001252199942,Shore
YDL002C,0.00124551908496,Fjord
YJL001W,0.00124007570495,Shore
YPR105C,0.00123144626986,Essential
YML071C,0.00122927263906,Essential
YOR204W,0.00122398605808,Fjord
YEL002C,0.0012222644147,Essential
YDR394W,0.00122082587584,Shore
YER157W,0.00121974896868,Essential
YLR075W,0.00121802507456,Fjord
YDR138W,0.0012118995523,Shore
YDR240C,0.00120857783383,Essential
YLR396C,0.00120737375652,Essential
YBR055C,0.00120653839533,Essential
YNL002C,0.00120618248393,Shore
YBR160W,0.00120564584336,Essential
YML056C,0.00120535872245,Fjord
YGL048C,0.00120522953226,Shore
YGR095C,0.00120444574061,Shore
YLR360W,0.00120254229439,Essential
YER177W,0.00120082323604,Essential
YIL126W,0.00120047974913,Shore
YDR064W,0.00119910142058,Fjord
YGL190C,0.0011980847436,Fjord
YOL148C,0.00119705825326,Essential
YKR048C,0.00119596602324,Fjord
YOR281C,0.0011957893588,Essential
YGR104C,0.00119566463307,Essential
YPL018W,0.00119494398413,Essential
YER018C,0.00119464457394,Essential
YEL036C,0.00119452974545,Essential
YMR093W,0.00119329334173,Shore
YHR167W,0.00119125586334,Shore
YPL120W,0.00119080467271,Essential
YPR190C,0.0011897593828,Essential
YHR069C,0.00118856199819,Shore
YPL213W,0.00118625587074,Shore
YGL200C,0.00118332144626,Essential
YBR123C,0.00118246638382,Essential
YDL150W,0.00118201759877,Shore
YJL006C,0.00117894512171,Essential
YLR055C,0.00117763841007,Essential
